Time Values,Noisy Yaw,Filtered Yaw,Reference Yaw,Noisy Ax,Filtered Ax,Vx Values,Yaw Error,Yaw Error Derivatives,Yaw Correction,Steering Values,Sideslip,Noisy Ay,Filtered Ay,Vy
0.128,-0.08123671845142048,-0.02882593235372985,0.0,7.201640028689151,2.5554206553413117,0.09609886899192774,-1.1152638990643122e-05,-0.0006970399369151952,-1.4214271646111233e-18,0.0,-6.19664175906213e-05,-0.45484947058313246,-0.16139819923917603,-5.954902653562154e-06
0.14400000000000002,-0.15967663859054473,-0.0665337707755904,0.0,3.7624010514568638,2.9032416420519933,0.15768128407997795,-1.1302989840161906e-05,-9.396928094923956e-06,-1.4214271646111233e-18,0.0,-6.954974995806224e-05,-0.21397735844722016,-0.17655017278822205,-1.0966693898511226e-05
0.16,0.10732735623631535,-0.022596749659930977,0.0,3.2768747146127692,2.9976636930345992,0.21938213286238287,-8.863807667077261e-06,0.00015244888581779028,-1.4214271646111233e-18,0.0,-6.999234969816899e-05,1.0922271714722147,0.14408675119780312,-1.535507098590854e-05
0.176,0.13410708164920182,0.013816738449068965,0.0,3.123030265319455,3.0267952985034863,0.2785174649258234,1.3163631608679516e-05,0.0013767149547347986,-1.4214271646111233e-18,0.0,-7.064883210497042e-05,-0.5911635881214997,-0.026764396883738772,-1.9676933650584033e-05
0.192,0.14660291056098412,0.04305555097357243,0.0,0.5819667128502237,2.488456979584145,0.30774585419548894,9.65915972772409e-06,-0.00021902949255971416,-1.4214271646111233e-18,0.0,-7.372173599869363e-05,-1.2899448539722531,-0.30491005001920946,-2.2687558658793794e-05
0.20800000000000002,-0.10247472984501374,0.012098476758613766,0.0,2.874959993956498,2.5706735631908613,0.334967250803815,-5.232598966266872e-06,-0.000930734918374435,-1.4214271646111233e-18,0.0,-7.4080709624605e-05,0.11985825437932571,-0.21455370734287327,-2.4814611685943454e-05
0.224,0.007302225159913505,0.011100577064185628,0.0,1.9473279574272218,2.4409813698782283,0.36218134708935956,-2.608377588347009e-06,0.0001640138361199914,-1.4214271646111233e-18,0.0,-7.413644613584082e-05,-1.261828979724072,-0.43244796346875075,-2.685083797908921e-05
0.24,0.15526067553254433,0.04067130819570975,0.0,0.44274010533653585,2.031093642292855,0.3893934829676458,-5.841640351174171e-07,0.0001265133470768495,-1.4214271646111233e-18,0.0,-7.332219457639325e-05,0.845459696767338,-0.17031812148580705,-2.8551184776098293e-05
0.256,0.1505235060378268,0.06300053895556751,0.0,2.147986450036564,2.0548539905566954,0.4166041467639412,3.6382268388817485e-07,5.92491699378495e-05,-1.4214271646111233e-18,0.0,-7.179458137638566e-05,-1.2102697291427507,-0.3817050566824186,-2.9909920367973333e-05
0.272,-0.1731446203393081,0.015279174314135342,0.0,1.6463964127626778,1.9723108926220707,0.44381363911666,1.064975929397739e-06,4.382207784434776e-05,-1.4214271646111233e-18,0.0,-6.989930094670701e-05,-1.2085755142106172,-0.5488030684848028,-3.1022263175392654e-05
0.28800000000000003,-0.1487495006005416,-0.017745062812356376,0.0,0.9304519418665035,1.7625512450482117,0.47102219743425056,1.122784614819416e-06,3.6130428388548186e-06,-1.4214271646111233e-18,0.0,-6.768876032633353e-05,1.4323729772059068,-0.14992874022330605,-3.1882908679203304e-05
0.304,0.15247367298794304,0.016443648522774093,0.0,1.7906307604109835,1.7681910616092655,0.49823001045475623,1.2076155269837262e-06,5.301932010269383e-06,-1.4214271646111233e-18,0.0,-6.538350160032952e-05,0.9092887280357005,0.06281681973620576,-3.25760227323216e-05
0.32,-0.181371576877217,-0.0232271415830423,0.0,0.7482755348619806,1.5636524336778659,0.5254372283504621,8.691767218299838e-07,-2.11524253221089e-05,-1.4214271646111233e-18,0.0,-6.298706792612109e-05,-0.4008614262450743,-0.03017138345069259,-3.309575043679106e-05
0.336,-0.14629693072429203,-0.04788398187675658,0.0,2.001312666098263,1.651336978593387,0.5526439701477976,6.417498396383252e-07,-1.4214180136978662e-05,-1.4214271646111233e-18,0.0,-6.065028823378679e-05,-0.7224035281302802,-0.16885901391335895,-3.351801612122639e-05
0.352,0.13822072159623827,-0.010621551073743907,0.0,2.447596934249309,1.8107664876017078,0.5798503306594807,4.550171046611635e-08,-3.726550807326305e-05,-1.4214271646111233e-18,0.0,-5.834852839081756e-05,0.5604095124821503,-0.02284272579965807,-3.3833413519305515e-05
0.368,-0.1664870856863314,-0.04181689313469003,0.0,1.3347649219597622,1.7154982700406254,0.6070563859415359,-4.2285084285812166e-07,-2.9272034582764875e-05,-1.4214271646111233e-18,0.0,-5.618727423191278e-05,-0.9753715967378314,-0.21348438385254373,-3.4108843667024946e-05
0.384,-0.07883869528371082,-0.04922463326107762,0.0,2.2165850919380894,1.8157613783148414,0.6342621975228058,-1.1934566088453387e-06,-4.816286037420107e-05,-1.4214271646111233e-18,0.0,-5.412256136017664e-05,-1.0252075817155657,-0.37590312511548374,-3.432789473738688e-05
0.4,0.1238476593271111,-0.01460006370033902,0.0,1.5962046569531605,1.7718372073361643,0.6614678156117033,-1.7157976794243513e-06,-3.264631691118829e-05,-1.4214271646111233e-18,0.0,-5.222833049222623e-05,0.8285475573566953,-0.1349426235003159,-3.454735971515175e-05
0.41600000000000004,-0.005100901267479018,-0.01269987606246914,0.0,2.1531050312092677,1.8481050268162336,0.6886732804195903,-2.3396503041186676e-06,-3.899078904339477e-05,-1.4214271646111233e-18,0.0,-5.0446907042670246e-05,-1.4979218105435126,-0.40758941948879657,-3.47414369895689e-05
